,C,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Mo,Ti,Hom_Temp(K),CR(%),Anneal_Temp(K),Anneal_Time(h),Miedema_dH_inter,Miedema_dH_amor,Miedema_dH_ss_min,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,mean atomic_mass,std_dev atomic_mass,mean atomic_radius,std_dev atomic_radius,mean mendeleev_no,std_dev mendeleev_no,mean electrical_resistivity,std_dev electrical_resistivity,mean thermal_conductivity,std_dev thermal_conductivity,mean melting_point,std_dev melting_point,mean bulk_modulus,std_dev bulk_modulus,mean coefficient_of_linear_thermal_expansion,std_dev coefficient_of_linear_thermal_expansion,Liquidus,Solidus,AnnealT Specific heat,AnnealT Gibbs (BCC-FCC),AnnealT Gibbs (HCP-FCC),RoomT Specific heat,RoomT Gibbs (BCC-FCC),RoomT Gibbs (HCP-FCC),YS,UTS,Elongation,Density
10,0,0,10,10,0,45,35,0,0,0,0,1373,75,1173,0.166666667,-0.12320825,-0.046240798,-0.189190023,0.023254649,3.952762221,0.009824565,1.16,1.043220346,-0.009871073,-18.25344147,0.051236222,0.119475,7.85,4.67,4.4035,79.751,0.199199897,7.12125,-0.019396755,56.05062825,3.31120773,1.3775,0.030735265,60.95,3.837838928,9.87E-08,4.99E-08,83.5,24.32132228,1870.05,193.8550159,171.5,8.974093333,1.12E-05,3.04E-06,1666.27,1611.23,33.2408,68230,68230,25.732,-17471.34333,0,427,745,70.1,7.91675565
11,0,0,10,10,0,45,30,5,0,0,0,1373,75,1273,0.333333333,-0.171865218,-0.089504885,-0.229722232,0.023120686,4.218159914,0.009824679,1.1875,1.043214241,-0.01106447,-20.69803809,0.05220774,0.124225,7.9,4.9,4.406,79.6825,0.19958649,7.172625,-0.019489517,56.0386385,3.222886251,1.3775,0.030054695,61.1,4.005470711,9.93E-08,4.82E-08,83.05,23.44266184,1868.05,191.4178656,171.5,8.775380292,1.12E-05,2.99E-06,1663.3,1607.89,34.2354,78186.1,78186.1,25.811,2753.64086,19612,359,732,55.8,7.919536461
12,0,0,10,10,2.5,45,30,2.5,0,0,0,1373,75,1273,0.25,-0.157321306,-0.077833825,-0.219630295,0.024075435,4.480493328,0.008054318,1.28375,1.043195939,-0.011352611,-19.5860777,0.053363105,0.12843125,7.825,4.72,4.368,79.71925,0.199380941,7.14748125,-0.01945625,55.94475463,3.184746573,1.37875,0.029837141,60.925,3.840039276,1.34E-07,2.57E-07,80.97,27.31733772,1862.825,200.6444785,170,12.9451695,1.14E-05,3.56E-06,1650.92,1594.6,34.3676,78753.1,78753.1,25.4523,-17188.27344,0,345,769,57.2,7.885095842
13,0,0,10,10,5,45,30,0,0,0,0,1373,75,1273,0.166666667,-0.129072205,-0.051861431,-0.194248692,0.024933338,4.567413303,0.006282545,1.3725,1.043177656,-0.01106447,-17.7979412,0.054236905,0.1317,7.75,4.5,4.33,79.756,0.199174451,7.1205,-0.019419514,55.85087075,3.14793705,1.38,0.029595817,60.75,3.662295559,1.68E-07,3.56E-07,78.89,30.54516579,1857.6,209.6254567,168.5,15.88048428,1.16E-05,4.05E-06,1639.43,1583.37,34.4998,78545.3,78545.3,26.375,-17772.05668,0,374,802,66.5,7.85083919
14,0,0,10,10,0,45,20,15,0,0,0,1373,75,1173,1,-0.218033524,-0.127942455,-0.266841484,0.022830534,4.12395572,0.009825835,1.2275,1.043202037,-0.011858267,-22.75040315,0.054029382,0.132225,8,5.36,4.411,79.5455,0.200349873,7.254825,-0.019630094,56.014659,3.124781889,1.3775,0.02941742,61.4,4.351673579,1.01E-07,4.60E-08,82.15,22.22666137,1864.05,190.851414,171.5,8.58930869,1.13E-05,2.97E-06,1656.67,1603.4,33.3626,70381.7,70381.7,26.5944,3703.966751,19611.8,294,625,36,7.925107527
15,0,0,10,10,0,45,30,5,0,0,0,1373,75,1223,1,-0.171865218,-0.089504885,-0.229722232,0.023120686,4.218159914,0.009824679,1.1875,1.043214241,-0.01106447,-20.69803809,0.05220774,0.124225,7.9,4.9,4.406,79.6825,0.19958649,7.172625,-0.019489517,56.0386385,3.222886251,1.3775,0.030054695,61.1,4.005470711,9.93E-08,4.82E-08,83.05,23.44266184,1868.05,191.4178656,171.5,8.775380292,1.12E-05,2.99E-06,1663.3,1607.89,33.7544,73832.2,73832.2,25.811,2753.64086,19612,257,645,60.2,7.919536461
16,0,0,10,10,0,45,30,5,0,0,0,1473,50,1123,1,-0.171865218,-0.089504885,-0.229722232,0.023120686,4.218159914,0.009824679,1.1875,1.043214241,-0.01106447,-20.69803809,0.05220774,0.124225,7.9,4.9,4.406,79.6825,0.19958649,7.172625,-0.019489517,56.0386385,3.222886251,1.3775,0.030054695,61.1,4.005470711,9.93E-08,4.82E-08,83.05,23.44266184,1868.05,191.4178656,171.5,8.775380292,1.12E-05,2.99E-06,1663.3,1607.89,32.816,65333.5,65333.5,25.811,2753.64086,19612,397,731,40,7.919536461
17,0,0,10,10,0,40,30,10,0,0,0,1373,80,1173,0.166666667,-0.205217908,-0.117644194,-0.248317553,0.022979355,4.131857491,0.009825102,1.21,1.043208138,-0.011793273,-22.33359829,0.053753639,0.1306,8,5.32,4.414,79.359,0.200716586,7.2299,-0.019640745,56.1810585,3.215699724,1.375,0.029462783,61.4,4.18993503,9.79E-08,4.75E-08,83.6,22.9383231,1863.9,189.6623096,172,8.819171037,1.13E-05,2.97E-06,1660.89,1609.99,33.2618,70638.2,70638.2,25.704,2474.202076,19611.2,470,787,44,7.967814494
18,0,0,10,10,0,45,30,5,0,0,0,1373,80,1173,0.166666667,-0.171865218,-0.089504885,-0.229722232,0.023120686,4.218159914,0.009824679,1.1875,1.043214241,-0.01106447,-20.69803809,0.05220774,0.124225,7.9,4.9,4.406,79.6825,0.19958649,7.172625,-0.019489517,56.0386385,3.222886251,1.3775,0.030054695,61.1,4.005470711,9.93E-08,4.82E-08,83.05,23.44266184,1868.05,191.4178656,171.5,8.775380292,1.12E-05,2.99E-06,1663.3,1607.89,33.2814,69547.4,69547.4,25.811,2753.64086,19612,451,790,49.4,7.919536461
19,0,0,10,10,0,50,30,0,0,0,0,1373,80,1173,0.166666667,-0.122276331,-0.044871402,-0.19394467,0.023254649,4.095690623,0.009824565,1.16,1.043220346,-0.0097131,-17.96132116,0.050445124,0.1165,7.8,4.44,4.398,80.006,0.198382641,7.083,-0.019310777,55.8962185,3.246222689,1.38,0.030618622,60.8,3.783186488,1.01E-07,4.93E-08,82.5,24.15606808,1872.2,194.7103618,171,8.75,1.11E-05,3.04E-06,1666.3,1609.36,33.3014,67726.3,67726.3,25.8244,-16776.1886,0,409,1026,29.3,7.871598366
20,0,0,0,0,30,0,10,40,20,0,0,1173,75,873,0.166666667,-0.029166245,0.032281711,-0.094452214,0.022162837,9.868972124,0.002822897,1.35,1.033503673,-0.010640708,-21.66306014,0.076032035,0.1865,9.2,1.72,3.789,69.644,0.176239936,5.137,-0.015416528,58.561293,3.571444408,1.365,0.027386128,65.6,5.160287921,4.70E-07,7.59E-07,128.74,167.9994235,1595.254,181.4892758,154,32.16031272,1.65E-05,4.34E-06,1408.32,1364.58,31.2999,49929.4,49929.4,27.8986,-3360.471001,3500.728999,457,772,35.2,8.450401154
21,0,0,0,0,30,0,10,40,20,0,0,1173,75,973,0.166666667,-0.029166245,0.032281711,-0.094452214,0.022162837,9.868972124,0.002822897,1.35,1.033503673,-0.010640708,-21.66306014,0.076032035,0.1865,9.2,1.72,3.789,69.644,0.176239936,5.137,-0.015416528,58.561293,3.571444408,1.365,0.027386128,65.6,5.160287921,4.70E-07,7.59E-07,128.74,167.9994235,1595.254,181.4892758,154,32.16031272,1.65E-05,4.34E-06,1408.32,1364.58,32.2166,57828.4,57828.4,27.8986,-3360.471001,3500.728999,402,735,45.5,8.450401154
22,0,0,0,0,30,0,10,40,20,0,0,1173,75,1023,0.166666667,-0.029166245,0.032281711,-0.094452214,0.022162837,9.868972124,0.002822897,1.35,1.033503673,-0.010640708,-21.66306014,0.076032035,0.1865,9.2,1.72,3.789,69.644,0.176239936,5.137,-0.015416528,58.561293,3.571444408,1.365,0.027386128,65.6,5.160287921,4.70E-07,7.59E-07,128.74,167.9994235,1595.254,181.4892758,154,32.16031272,1.65E-05,4.34E-06,1408.32,1364.58,32.6726,61903.8,61903.8,27.8986,-3360.471001,3500.728999,339,713,50.5,8.450401154
23,0,0,0,0,30,0,10,40,20,0,0,1173,75,1073,0.166666667,-0.029166245,0.032281711,-0.094452214,0.022162837,9.868972124,0.002822897,1.35,1.033503673,-0.010640708,-21.66306014,0.076032035,0.1865,9.2,1.72,3.789,69.644,0.176239936,5.137,-0.015416528,58.561293,3.571444408,1.365,0.027386128,65.6,5.160287921,4.70E-07,7.59E-07,128.74,167.9994235,1595.254,181.4892758,154,32.16031272,1.65E-05,4.34E-06,1408.32,1364.58,33.1272,66059,66059,27.8986,-3360.471001,3500.728999,302,700,53.5,8.450401154
24,0,0,0,0,30,0,10,40,20,0,0,1173,75,1173,0.166666667,-0.029166245,0.032281711,-0.094452214,0.022162837,9.868972124,0.002822897,1.35,1.033503673,-0.010640708,-21.66306014,0.076032035,0.1865,9.2,1.72,3.789,69.644,0.176239936,5.137,-0.015416528,58.561293,3.571444408,1.365,0.027386128,65.6,5.160287921,4.70E-07,7.59E-07,128.74,167.9994235,1595.254,181.4892758,154,32.16031272,1.65E-05,4.34E-06,1408.32,1364.58,34.0333,74598.6,74598.6,27.8986,-3360.471001,3500.728999,235,585,60.4,8.450401154
25,0,0,15,15,0,14,30,26,0,0,0,1373,75,1173,1,-0.309821621,-0.206463681,-0.270045374,0.025551896,2.889201568,0.00272487,1.5964,1.043103508,-0.012935111,-19.8117977,0.067039127,0.170928,8.07,8.4512,4.4821,78.3318,0.248245175,9.507068,-0.029234832,56.1991825,3.704477746,1.3645,0.025725523,61.81,5.215083352,9.98E-08,5.43E-08,83.61,26.05396964,1887.67,220.0110481,172.6,10.09341811,1.10E-05,3.47E-06,1623.84,1578.81,33.1029,72465.7,72465.7,26.484,6228.975471,19575.9,368,818,59.77,7.98340564
26,0,0,15,15,0,14,30,26,0,0,0,1373,75,1273,1,-0.309821621,-0.206463681,-0.270045374,0.025551896,2.889201568,0.00272487,1.5964,1.043103508,-0.012935111,-19.8117977,0.067039127,0.170928,8.07,8.4512,4.4821,78.3318,0.248245175,9.507068,-0.029234832,56.1991825,3.704477746,1.3645,0.025725523,61.81,5.215083352,9.98E-08,5.43E-08,83.61,26.05396964,1887.67,220.0110481,172.6,10.09341811,1.10E-05,3.47E-06,1623.84,1578.81,34.1355,81069.7,81069.7,26.484,6228.975471,19575.9,331,773,66.5,7.98340564
27,0,0,15,15,0,14,30,26,0,0,0,1373,75,1373,1,-0.309821621,-0.206463681,-0.270045374,0.025551896,2.889201568,0.00272487,1.5964,1.043103508,-0.012935111,-19.8117977,0.067039127,0.170928,8.07,8.4512,4.4821,78.3318,0.248245175,9.507068,-0.029234832,56.1991825,3.704477746,1.3645,0.025725523,61.81,5.215083352,9.98E-08,5.43E-08,83.61,26.05396964,1887.67,220.0110481,172.6,10.09341811,1.10E-05,3.47E-06,1623.84,1578.81,35.2117,89942.1,89942.1,26.484,6228.975471,19575.9,323,745,71.2,7.98340564
28,0,0,15,15,0,14,30,26,0,0,0,1373,75,1473,1,-0.309821621,-0.206463681,-0.270045374,0.025551896,2.889201568,0.00272487,1.5964,1.043103508,-0.012935111,-19.8117977,0.067039127,0.170928,8.07,8.4512,4.4821,78.3318,0.248245175,9.507068,-0.029234832,56.1991825,3.704477746,1.3645,0.025725523,61.81,5.215083352,9.98E-08,5.43E-08,83.61,26.05396964,1887.67,220.0110481,172.6,10.09341811,1.10E-05,3.47E-06,1623.84,1578.81,36.3322,99071,99071,26.484,6228.975471,19575.9,313,720,69.3,7.98340564
29,0,0,15,20,0,8,24,33,0,0,0,1373,75,1173,1,-0.310904573,-0.207731032,-0.263152704,0.025133047,2.630206128,-0.000812377,1.6376,1.043064739,-0.012611344,-19.96508245,0.069253793,0.178477,8.05,9.124,4.4777,79.9439,0.26507352,10.639037,-0.034071507,56.0208338,3.879026585,1.364,0.025674271,61.85,5.587098381,1.02E-07,5.47E-08,83.88,26.08427157,1902.89,235.106061,172.2,10.67680876,1.07E-05,3.84E-06,1621.57,1584.29,33.1777,71396.6,71396.6,26.7688,9796.087316,17995.99732,391,836,63,7.961236801
30,0,0,15,20,0,8,24,33,0,0,0,1373,75,1273,1,-0.310904573,-0.207731032,-0.263152704,0.025133047,2.630206128,-0.000812377,1.6376,1.043064739,-0.012611344,-19.96508245,0.069253793,0.178477,8.05,9.124,4.4777,79.9439,0.26507352,10.639037,-0.034071507,56.0208338,3.879026585,1.364,0.025674271,61.85,5.587098381,1.02E-07,5.47E-08,83.88,26.08427157,1902.89,235.106061,172.2,10.67680876,1.07E-05,3.84E-06,1621.57,1584.29,34.2697,79892.4,79892.4,26.7688,9796.087316,17995.99732,348,792,65.5,7.961236801
31,0,0,15,20,0,8,24,33,0,0,0,1373,75,1373,1,-0.310904573,-0.207731032,-0.263152704,0.025133047,2.630206128,-0.000812377,1.6376,1.043064739,-0.012611344,-19.96508245,0.069253793,0.178477,8.05,9.124,4.4777,79.9439,0.26507352,10.639037,-0.034071507,56.0208338,3.879026585,1.364,0.025674271,61.85,5.587098381,1.02E-07,5.47E-08,83.88,26.08427157,1902.89,235.106061,172.2,10.67680876,1.07E-05,3.84E-06,1621.57,1584.29,35.4126,88657.5,88657.5,26.7688,9796.087316,17995.99732,349,769,69.1,7.961236801
32,0,0,15,20,0,8,24,33,0,0,0,1373,75,1473,1,-0.310904573,-0.207731032,-0.263152704,0.025133047,2.630206128,-0.000812377,1.6376,1.043064739,-0.012611344,-19.96508245,0.069253793,0.178477,8.05,9.124,4.4777,79.9439,0.26507352,10.639037,-0.034071507,56.0208338,3.879026585,1.364,0.025674271,61.85,5.587098381,1.02E-07,5.47E-08,83.88,26.08427157,1902.89,235.106061,172.2,10.67680876,1.07E-05,3.84E-06,1621.57,1584.29,36.6069,97680.7,97680.7,26.7688,9796.087316,17995.99732,340,748,67.9,7.961236801
33,0,0,10,20,0,15,30,25,0,0,0,1373,75,1173,1,-0.263621474,-0.167584648,-0.245047984,0.023234245,3.454121061,0.002761543,1.4475,1.043128998,-0.012840803,-23.78674659,0.060507199,0.155625,8.1,7.02,4.42,81.9065,0.240578682,9.670225,-0.028857844,56.2234285,3.612426489,1.3675,0.027090053,61.9,4.950073313,9.64E-08,4.83E-08,86.65,22.29790964,1888.35,219.57298,172.5,10.08032258,1.08E-05,3.74E-06,1652.74,1620.78,33.2614,71099.4,71099.4,25.3001,6851.470501,19557,467,883,46.3,8.043409156
34,0,0,10,20,5,15,20,30,0,0,0,1373,75,1173,1,-0.283079919,-0.186427282,-0.270448841,0.023969958,3.515053814,-0.000785743,1.5725,1.043080478,-0.013880889,-24.15921056,0.064576138,0.1707,8.05,7.4,4.349,81.843,0.241009247,9.6886,-0.028963124,56.01168125,3.496986598,1.37,0.027472113,61.85,5.019145734,1.66E-07,3.31E-07,81.59,28.67545353,1873.9,234.7590495,169.5,16.04827623,1.13E-05,4.54E-06,1612.05,1577.39,33.5946,72972.8,72972.8,27.5444,5639.461887,19576,521,879,40.3,7.978871795
35,0,0,10,20,5,20,10,35,0,0,0,1373,75,1173,1,-0.266822228,-0.172696303,-0.273136025,0.023693129,3.377621491,-0.000782694,1.555,1.043074423,-0.013481289,-24.01521928,0.064787465,0.172025,8.05,7.48,4.346,82.0295,0.240256261,9.762125,-0.028763998,55.84528175,3.445753719,1.3725,0.028255744,61.85,5.196462817,1.69E-07,3.34E-07,80.14,28.33605705,1874.05,238.1502575,169,16.02417528,1.13E-05,4.59E-06,1602.33,1568.09,33.6958,72280.4,72280.4,27.8567,4746.343232,19576,479,832,39,7.935949979
36,0,0,10,20,10,15,5,40,0,0,0,1373,75,1173,1,-0.248495758,-0.159505163,-0.266379874,0.023952671,3.044865404,-0.004331474,1.62,1.043026057,-0.013163353,-22.94344342,0.068804485,0.183275,8.05,8.03,4.2805,81.711,0.241895188,9.70305,-0.028979371,55.78794425,3.484770896,1.3725,0.028627547,61.95,5.416127499,2.36E-07,4.64E-07,76.08,33.62468346,1857.45,258.0811708,166.5,20.35284773,1.18E-05,5.35E-06,1566.6,1534.81,33.9683,72848.8,72848.8,28.3141,6321.458311,19576,523,870,35.7,7.917675277
37,0,0,10,20,5,10,10,45,0,0,0,1373,75,1173,1,-0.253900954,-0.163608163,-0.258237993,0.02311097,2.837210111,-0.000775667,1.505,1.043062319,-0.012652064,-23.68781565,0.067110913,0.174025,8.25,8.32,4.362,81.3825,0.243542424,9.610125,-0.029198819,56.13012175,3.701218515,1.3675,0.028008619,62.45,5.650450089,1.66E-07,3.47E-07,81.24,29.54492546,1865.75,250.8501064,170,17.01925887,1.14E-05,4.80E-06,1611.6,1583.13,33.6556,71981.1,71981.1,27.8917,8131.25861,18481.75861,479,848,45.3,8.033507943
38,0,0,0,20,10,20,30,20,0,0,0,1373,75,1173,0.166666667,-0.140666153,-0.058790951,-0.17809756,0.020075239,6.09288539,0.002826321,1.27,1.033579118,-0.012945838,-32.12245471,0.050483824,0.1353,8.2,3.88,4.173,85.232,0.186406709,7.073,-0.016401738,56.480663,3.022300989,1.375,0.028306926,62.2,3.882901374,2.22E-07,4.61E-07,83.78,29.75100946,1826.1,219.1565709,168,20.12779683,1.21E-05,5.09E-06,1659.99,1633.46,33.994,71284.2,71284.2,27.7268,3403.991804,17987.81189,470,746,55,8.164304712
39,0,0,0,25,5,10,20,40,0,0,0,1373,75,1173,0.166666667,-0.129655041,-0.05005437,-0.162340454,0.017782031,4.489103877,0.002839407,1.145,1.033569664,-0.011764498,-37.20580099,0.050723083,0.1331,8.45,4.84,4.253,86.457,0.203066198,8.08655,-0.019477306,56.59442625,3.390806874,1.37,0.028767798,62.95,4.763003978,1.55E-07,3.48E-07,88.29,22.56998006,1846.85,235.3094148,171,16.97868847,1.15E-05,4.98E-06,1668.09,1649.81,33.8332,69183.2,69183.2,27.0869,8654.057635,8009.757635,476,792,46,8.257138167
40,0,0,0,25,5,20,10,40,0,0,0,1373,75,1173,0.166666667,-0.125369241,-0.045896002,-0.17629607,0.017782031,4.575178593,0.002839407,1.145,1.033569664,-0.011764498,-37.20580099,0.050275614,0.1348,8.35,4.76,4.242,86.967,0.199272564,8.18755,-0.018783432,56.28560675,3.26940883,1.375,0.029361011,62.65,4.788996007,1.59E-07,3.46E-07,86.29,22.23628287,1851.15,233.8048921,170,16.60909597,1.13E-05,4.95E-06,1662.01,1645.65,33.9545,68785.8,68785.8,25.8307,6286.708741,19352.9,367,751,44.2,8.16206569
41,0,9.09,0,18.182,18.182,18.182,18.182,18.182,0,0,0,1473,79,1273,2,-0.634938825,-0.500036623,-0.532551093,0.036682673,2.878796564,-0.001567578,2.363561817,1.076233198,-0.014697116,-10.92220163,0.068256268,0.183964567,8.4545,8.792975202,3.9681876,79.9105332,0.283600019,10.69158146,-0.044912611,53.43599351,9.588177307,1.368183,0.048475346,63.45438,6.786548481,3.30E-07,5.77E-07,89.143996,62.01532021,1722.323343,354.7107717,154.1826,35.84886974,1.39E-05,6.46E-06,1595.5,1514.35,42.2557,-11446.3,85393.4,31.3078,8458.634666,40948.85756,537,874,31.6,7.360355978
42,0,0,0,10,0,57.5,16.25,16.25,0,0,0,1373,79,1073,0.166666667,-0.061611321,0.010533682,-0.1859188,0.011866483,8.375146221,0.016965917,0.55359375,1.024076805,-0.009469689,-67.24990097,0.030153312,0.076103125,8.2875,2.06625,4.305875,83.157875,0.13821776,4.471460938,-0.008507961,56.42480669,2.572283161,1.38375,0.030069471,62.0625,3.582220392,9.17E-08,2.54E-08,86.4375,10.17688737,1827.425,156.0260979,172.25,7.856256265,1.16E-05,2.97E-06,1743.03,1741.45,32.7121,57941.8,57941.8,25.4817,6143.036787,19504.8,274,568,86,8.113424042
43,0,0,0,10,0,55,17.5,17.5,0,0,0,1373,79,1073,0.166666667,-0.063410463,0.008841554,-0.183744112,0.011854042,8.273751924,0.016965481,0.559375,1.024075954,-0.009719965,-69.17223272,0.030627159,0.0783125,8.325,2.145,4.30925,83.01325,0.139138771,4.52424375,-0.008607084,56.49901413,2.571912328,1.3825,0.030136085,62.175,3.595156422,9.08E-08,2.54E-08,86.825,10.12452409,1825.85,154.3758407,172.5,7.866145657,1.16E-05,2.94E-06,1741.12,1739.63,32.6929,58347.9,58347.9,25.3717,5711.130337,19505.3,280,550,68,8.137550771
