,Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,Processing,Miedema_dH_inter,Miedema_dH_amor,Miedema_dH_ss_min,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,mean atomic_mass,std_dev atomic_mass,mean atomic_radius,std_dev atomic_radius,mean mendeleev_no,std_dev mendeleev_no,mean electrical_resistivity,std_dev electrical_resistivity,mean thermal_conductivity,std_dev thermal_conductivity,mean melting_point,std_dev melting_point,mean bulk_modulus,std_dev bulk_modulus,mean coefficient_of_linear_thermal_expansion,std_dev coefficient_of_linear_thermal_expansion,YS,UTS,Elongation,Density
28,95.99545937,0,0.129385588,0,0,3.875155045,0,0,0,0,0,0,Strain hardened,-0.002737723,0.031168201,0.000727832,0.026044935,3.943746094,0.018690892,0.721962083,1.134380498,-0.001444992,-2.130193063,0.034943851,0.028518906,12.56467558,0.342466559,3.318065666,26.34891257,0.140726194,0.46025537,-0.005474382,26.91018382,3.749199538,1.259881974,0.174844083,79.69898016,5.69026047,2.78E-08,1.75E-08,231.9111972,55.15140641,934.6771055,161.7139907,74.90738514,24.22443516,2.25E-05,1.06E-05,117.210869,241.316495,25,2.650878195
29,96.20370458,0,0.065205714,0.021341677,0.09713869,3.013108042,0.370283745,0,0.120718621,0.056664433,0,0.0518345,Strain hardened,-0.009936325,0.024742695,-0.005207511,0.024977956,2.100012853,0.020428703,0.652471204,1.247267307,-0.001605295,-2.573006942,0.031946163,0.024750669,12.63208173,0.717359103,3.334228825,26.64142111,0.169754843,0.597394236,-0.00813431,27.089648,8.736734124,1.258308812,0.164114581,79.66739439,7.43947622,1.24E-06,0.000128024,231.408675,76.55653424,938.4341865,242.8568996,75.43373109,26.39050614,2.26E-05,1.01E-05,103.5,225.5,13,2.680053416
30,95.29429835,0,0.051806819,0,0,4.433248351,0.220646482,0,0,0,0,0,Strain hardened,-0.00489485,0.029024957,-0.000909651,0.027831274,3.062616129,0.018020963,0.830464981,1.134347007,-0.001675177,-2.162691259,0.037270257,0.032558182,12.49547728,0.511391517,3.305985694,26.33766269,0.139093435,0.547518828,-0.006201359,26.93752511,5.127465097,1.261491804,0.173273955,79.63362775,5.960258688,3.09E-08,2.21E-07,231.1007073,63.12640274,934.9435745,131.8832782,74.76629449,23.34459006,2.24E-05,1.03E-05,131.000383,268.895523,14,2.648711781
31,95.26725837,0,0.077728895,0,0,4.434313253,0.220699483,0,0,0,0,0,Strain hardened,-0.004875956,0.029051905,-0.000838348,0.02786711,3.041021017,0.018038636,0.833490426,1.134347946,-0.001691207,-2.177774951,0.037319867,0.032681761,12.49354313,0.520131326,3.306149594,26.3609498,0.149536301,0.570905132,-0.006753864,26.94399587,5.286414557,1.261533412,0.172958422,79.62758099,6.066110779,3.10E-08,2.21E-07,231.0632431,63.37978347,935.2669,147.4387557,74.7877642,23.72343269,2.24E-05,1.03E-05,130,270,14,2.649524357
32,94.82061802,0,0.07801875,0.021279459,0.121069335,4.45084758,0.221522435,0,0.192586656,0.042374399,0,0.051683364,Strain hardened,-0.008368433,0.026393903,-0.002230844,0.029942817,2.428642448,0.018464404,0.919195595,1.247084371,-0.001972416,-2.199952063,0.038374312,0.034887841,12.48277008,0.761940603,3.308887984,26.46672556,0.168208569,0.678689169,-0.008341017,27.01741799,6.952075669,1.261605686,0.168305779,79.59675968,6.501177606,1.96E-06,0.000139398,230.5826192,66.3587908,938.1799951,212.7893955,74.96819272,25.57336541,2.24E-05,1.04E-05,110.5,246.5,11,2.656666511
33,94.61703545,0,0.051873393,0,0,4.938326671,0.39276449,0,0,0,0,0,Strain hardened,-0.006671492,0.027285404,-0.002201692,0.029399602,2.648758335,0.017445836,0.932823857,1.134318569,-0.001883853,-2.179535893,0.039346468,0.036418797,12.42958654,0.665631278,3.295681676,26.37704226,0.161583312,0.675151021,-0.008102147,26.97214128,6.052649748,1.263012785,0.171730075,79.56383308,6.311183753,3.34E-08,2.76E-07,230.3307497,67.70954383,935.8993262,145.0371393,74.68550709,23.60258447,2.23E-05,1.02E-05,158.579411,296.474551,20,2.648043189
34,94.22093814,0,0.078020129,0.02127982,0.09685724,4.951658284,0.344596718,0,0.192590219,0.042375148,0,0.051684305,Strain hardened,-0.009880031,0.024891242,-0.003328559,0.031311531,2.308604424,0.017836772,1.012491463,1.247022305,-0.002143312,-2.186133628,0.040260055,0.038416691,12.4215068,0.871430754,3.298678837,26.46865439,0.179545615,0.768182541,-0.009535707,27.0314337,7.126826958,1.263006008,0.168121199,79.54168771,6.60122469,1.96E-06,0.000132324,229.964906,68.53530451,938.6357817,207.1472422,74.84433746,25.15739558,2.23E-05,1.03E-05,117,283,12.95,2.653484927
35,93.73476403,0,0.05182775,0,0,5.820989324,0.392418895,0,0,0,0,0,Strain hardened,-0.007272862,0.026697934,-0.002043761,0.031683608,2.708452741,0.016215358,1.08244887,1.134259337,-0.002093814,-2.085781321,0.04254783,0.042325401,12.33251827,0.723438829,3.279089036,26.29535948,0.165170707,0.747642812,-0.008676279,26.94840868,5.680788477,1.265218839,0.172400635,79.50212671,6.140433433,3.36E-08,2.57E-07,229.6696064,65.87059924,935.8043203,135.0483221,74.41169331,23.41314598,2.22E-05,1.02E-05,165.474168,310.264065,22,2.636571363
36,93.54901053,0,0.064967839,0.021263796,0.096784254,5.67065966,0.368932631,0,0.120278231,0.05645765,0,0.051645405,Strain hardened,-0.011727235,0.022981264,-0.004753064,0.032534967,2.413025553,0.016722837,1.113175283,1.246910602,-0.002288788,-2.16224435,0.042711268,0.042926443,12.33988426,0.889835454,3.284263674,26.39492684,0.180173917,0.820196809,-0.009893626,27.01782895,6.903139101,1.264949858,0.169325076,79.48180981,6.542221379,1.24E-06,9.94E-05,229.4203705,67.93833572,938.1366736,188.6471645,74.60854839,24.84435989,2.22E-05,1.03E-05,130.5,298,12.95,2.645118016
38,95.26725837,0,0.077728895,0,0,4.434313253,0.220699483,0,0,0,0,0,Strain hardened,-0.004875956,0.029051905,-0.000838348,0.02786711,3.041021017,0.018038636,0.833490426,1.134347946,-0.001691207,-2.177774951,0.037319867,0.032681761,12.49354313,0.520131326,3.306149594,26.3609498,0.149536301,0.570905132,-0.006753864,26.94399587,5.286414557,1.261533412,0.172958422,79.62758099,6.066110779,3.10E-08,2.21E-07,231.0632431,63.37978347,935.2669,147.4387557,74.7877642,23.72343269,2.24E-05,1.03E-05,205,290,12,2.649524357
39,99.94901297,0,0,0.05098703,0,0,0,0,0,0,0,0,Strain hardened,-0.000202136,0.033659315,-0.000144875,0.002401678,16.66155261,0.02402986,0.007644151,1.068796576,-3.64E-05,-6.306422289,0.001343682,0.000127403,12.99898026,0.00203844,3.390050987,26.59945299,0.015734612,0.009448171,-9.18E-05,27.00018172,25.85497861,1.250050987,0.070710678,79.99592104,5.656854249,2.70E-08,6.93E-09,235.0841286,116.6726189,933.6863379,300.0254073,76.03263168,45.254834,2.31E-05,4.67E-06,105,110,12,2.700416086
40,99.11268334,0,0,0,0,0.887316658,0,0,0,0,0,0,Strain hardened,-0.00063703,0.03321313,0.000118338,0.012621748,5.598410495,0.022758156,0.167094272,1.081081788,-0.000421993,-2.648905952,0.016772764,0.006595827,12.90239515,0.070355483,3.373318443,26.50810065,0.032653299,0.081172638,-0.000641132,26.95778922,1.892598594,1.252218292,0.176776695,79.93788782,4.949747468,2.72E-08,1.20E-08,234.3345124,53.03300859,933.3770979,7.403407999,75.72493178,21.92031022,2.30E-05,1.05E-05,130,140,10,2.686244724
41,99.14813061,0,0,0,0,0.556454077,0.29541531,0,0,0,0,0,Strain hardened,-0.002861079,0.030979207,-0.002426491,0.010612992,1.594686536,0.023439652,0.13164679,1.124473858,-0.000453748,-4.028455537,0.01369472,0.004886539,12.92106514,0.266082464,3.378150211,26.68614004,0.104853291,0.198139937,-0.003076833,27.04923263,11.76864198,1.251834258,0.155810113,79.90196519,9.238994265,3.13E-08,5.89E-07,233.9114763,103.871043,935.1414832,244.3603901,75.95748185,25.56871078,2.30E-05,8.54E-06,130,150,7,2.701025782
42,99.35531428,0,0,0.051300512,0,0,0.59338521,0,0,0,0,0,Strain hardened,-0.006677147,0.027309365,-0.006300525,0.005460756,0.705231666,0.024473216,0.060724097,1.068806351,-0.000338675,-11.35736281,0.004762046,0.001601323,12.96337088,0.450055395,3.387262391,26.89578829,0.143402942,0.303912469,-0.005358214,27.16618609,20.31507246,1.250941378,0.103673264,79.87721894,13.65932057,3.54E-08,9.59E-07,233.7364749,157.6833909,937.1621157,406.0450208,76.29392176,32.45820045,2.31E-05,1.62E-06,125,130,10,2.721301236
43,97.78260343,0,0,0.05355823,0.170642928,1.176246163,0.619500039,0,0.145416444,0,0,0.052032767,Strain hardened,-0.008555714,0.025721189,-0.006500329,0.018340716,1.427341709,0.023251131,0.356534867,1.247542848,-0.001114285,-3.31256029,0.021702703,0.012396683,12.82477302,0.733573238,3.36728882,26.9190303,0.174163722,0.541132885,-0.00838255,27.21368334,13.34681834,1.254013307,0.146716095,79.76224516,9.195327229,1.49E-06,0.000182333,232.3507416,101.720364,939.6693593,315.7099655,76.13440204,30.79122919,2.29E-05,8.89E-06,157.5,185.5,11.25,2.714127578
44,95.95782677,0,0.077965441,0.02126489,0.096789284,3.447050676,0.122983923,0,0.192455096,0.042345445,0,0.041318475,Strain hardened,-0.005635762,0.028935002,-0.000810439,0.026875485,2.494022171,0.019767615,0.730780194,1.247209973,-0.001634177,-2.262489641,0.033985746,0.027528204,12.60042329,0.614297193,3.32821545,26.49566992,0.149857094,0.530206903,-0.006509927,27.00572017,6.777232671,1.258901654,0.167976146,79.69177626,6.476486109,1.95E-06,0.000156909,231.6091256,64.94052374,937.5180054,225.035006,75.21371718,25.67474683,2.25E-05,1.05E-05,166,232.5,14.5,2.665146696
45,96.20370458,0,0.065205714,0.021341677,0.09713869,3.013108042,0.370283745,0,0.120718621,0.056664433,0,0.0518345,Strain hardened,-0.009936325,0.024742695,-0.005207511,0.024977956,2.100012853,0.020428703,0.652471204,1.247267307,-0.001605295,-2.573006942,0.031946163,0.024750669,12.63208173,0.717359103,3.334228825,26.64142111,0.169754843,0.597394236,-0.00813431,27.089648,8.736734124,1.258308812,0.164114581,79.66739439,7.43947622,1.24E-06,0.000128024,231.408675,76.55653424,938.4341865,242.8568996,75.43373109,26.39050614,2.26E-05,1.01E-05,205,265,14.05,2.680053416
46,95.62363796,0,0.129760734,0.021235175,0.096653983,3.886391054,0.024562403,0,0.120116337,0.056381658,0,0.041260696,Strain hardened,-0.006224544,0.028333616,-0.001018597,0.027532642,2.868409117,0.018999451,0.782801243,1.247132801,-0.0016935,-2.234031927,0.035797369,0.030258867,12.55239671,0.553282491,3.320094049,26.44484826,0.159419678,0.557708766,-0.006957992,26.98146308,6.195654035,1.260059339,0.169994206,79.66113666,6.402685136,1.23E-06,0.000119437,231.4620203,61.03524694,937.1365162,222.2003323,75.0649927,26.00561555,2.25E-05,1.06E-05,205,265,13,2.658200799
47,94.51360444,0,0.025949454,0.031849478,0.084563483,4.996272465,0.171919079,0,0.096083156,0.028187904,0,0.051570538,Strain hardened,-0.007673095,0.026734345,-0.002017771,0.030429783,2.870472192,0.017445104,0.968849475,1.246980055,-0.001975081,-2.132981685,0.039994179,0.037466171,12.43132171,0.644058021,3.296781741,26.31210274,0.139655019,0.620758954,-0.006677483,26.96518388,6.10138838,1.262895901,0.171247339,79.58586071,5.955704396,9.91E-07,9.60E-05,230.5460697,62.77182484,936.0380445,156.7803221,74.67802114,24.21328078,2.23E-05,1.04E-05,234,317,12,2.645481355
54,99.94901297,0,0,0.05098703,0,0,0,0,0,0,0,0,Strain Harderned (Hard),-0.000202136,0.033659315,-0.000144875,0.002401678,16.66155261,0.02402986,0.007644151,1.068796576,-3.64E-05,-6.306422289,0.001343682,0.000127403,12.99898026,0.00203844,3.390050987,26.59945299,0.015734612,0.009448171,-9.18E-05,27.00018172,25.85497861,1.250050987,0.070710678,79.99592104,5.656854249,2.70E-08,6.93E-09,235.0841286,116.6726189,933.6863379,300.0254073,76.03263168,45.254834,2.31E-05,4.67E-06,115,125,9,2.700416086
55,99.9423075,0,0,0.010630115,0,0,0.012295692,0,0,0.014112045,0,0.020654648,Strain Harderned (Hard),-0.000659345,0.033230716,-0.000557302,0.001311934,1.698617813,0.024010642,0.003048096,1.073370025,-4.71E-05,-27.34069134,0.001486395,0.000134386,12.99757303,0.025866381,3.389737522,26.60209667,0.023446364,0.012092067,-0.000157495,26.99974728,22.89198323,1.250070896,0.088652957,79.99177179,12.41935948,2.72E-08,4.80E-07,234.9357925,126.2034841,933.679547,433.2229974,76.01577218,27.04696226,2.31E-05,6.24E-06,115,125,8,2.700168125
56,99.75860178,0,0,0,0.145175953,0,0,0,0.096222263,0,0,0,Strain Harderned (Hard),-0.001649441,0.032402194,-0.001174222,0.008069245,1.055900688,0.024284355,0.052949949,1.154019622,-0.000154492,-2.372684665,0.007570838,0.001537498,12.99370342,0.136871228,3.392485223,26.68238879,0.079837647,0.092224141,-0.001605743,27.02450368,15.83768503,1.250073431,0.106158213,79.97722767,10.66000433,9.89E-07,0.000446616,234.6931882,93.06247756,935.4690269,586.962481,76.15955879,52.64579202,2.31E-05,1.11E-05,89.631841,96.526598,12,2.703056511
57,99.27943731,0,0,0.008498771,0.009670748,0,0.009830399,0,0.673023496,0.011282572,0,0.008256706,Strain Harderned (Hard),0.012405005,0.046474673,0.012706067,0.018073639,0.66197081,0.025137288,0.211083312,1.159031316,-0.000376108,-1.151387919,0.009959718,0.003510975,13.00438889,0.533400574,3.398390143,26.69254431,0.049491821,0.101864044,-0.000868644,27.00314487,5.606306182,1.249053396,0.105439661,80.02556551,4.898598372,6.76E-06,0.000683371,234.3711017,66.94644146,938.8137104,530.9820844,76.18372136,19.36752973,2.30E-05,1.41E-05,117.210869,124.105626,9,2.696787197
58,99.11268334,0,0,0,0,0.887316658,0,0,0,0,0,0,Strain Harderned (Hard),-0.00063703,0.03321313,0.000118338,0.012621748,5.598410495,0.022758156,0.167094272,1.081081788,-0.000421993,-2.648905952,0.016772764,0.006595827,12.90239515,0.070355483,3.373318443,26.50810065,0.032653299,0.081172638,-0.000641132,26.95778922,1.892598594,1.252218292,0.176776695,79.93788782,4.949747468,2.72E-08,1.20E-08,234.3345124,53.03300859,933.3770979,7.403407999,75.72493178,21.92031022,2.30E-05,1.05E-05,150,160,6,2.686244724
59,99.11268334,0,0,0,0,0.887316658,0,0,0,0,0,0,Strain Harderned (Hard),-0.00063703,0.03321313,0.000118338,0.012621748,5.598410495,0.022758156,0.167094272,1.081081788,-0.000421993,-2.648905952,0.016772764,0.006595827,12.90239515,0.070355483,3.373318443,26.50810065,0.032653299,0.081172638,-0.000641132,26.95778922,1.892598594,1.252218292,0.176776695,79.93788782,4.949747468,2.72E-08,1.20E-08,234.3345124,53.03300859,933.3770979,7.403407999,75.72493178,21.92031022,2.30E-05,1.05E-05,151.684654,158.579411,6,2.686244724
60,99.14813061,0,0,0,0,0.556454077,0.29541531,0,0,0,0,0,Strain Harderned (Hard),-0.002861079,0.030979207,-0.002426491,0.010612992,1.594686536,0.023439652,0.13164679,1.124473858,-0.000453748,-4.028455537,0.01369472,0.004886539,12.92106514,0.266082464,3.378150211,26.68614004,0.104853291,0.198139937,-0.003076833,27.04923263,11.76864198,1.251834258,0.155810113,79.90196519,9.238994265,3.13E-08,5.89E-07,233.9114763,103.871043,935.1414832,244.3603901,75.95748185,25.56871078,2.30E-05,8.54E-06,150,170,5,2.701025782
61,99.40702703,0,0,0,0,0,0.592972971,0,0,0,0,0,Strain Harderned (Hard),-0.006543665,0.027435971,-0.006220564,0.004902458,0.631516024,0.024436826,0.053051129,1.040133787,-0.000301952,-12.56347073,0.004568394,0.001473642,12.96442161,0.447987311,3.387213026,26.8860715,0.142580547,0.294315874,-0.005270863,27.14731318,19.76823525,1.25088946,0.106066017,79.88140537,14.14213562,3.54E-08,9.99E-07,233.652765,160.6546607,936.9420357,414.0322336,76.26090819,31.11269837,2.31E-05,9.90E-07,144.789897,151.684654,8,2.719003897
62,99.35531428,0,0,0.051300512,0,0,0.59338521,0,0,0,0,0,Strain Harderned (Hard),-0.006677147,0.027309365,-0.006300525,0.005460756,0.705231666,0.024473216,0.060724097,1.068806351,-0.000338675,-11.35736281,0.004762046,0.001601323,12.96337088,0.450055395,3.387262391,26.89578829,0.143402942,0.303912469,-0.005358214,27.16618609,20.31507246,1.250941378,0.103673264,79.87721894,13.65932057,3.54E-08,9.59E-07,233.7364749,157.6833909,937.1621157,406.0450208,76.29392176,32.45820045,2.31E-05,1.62E-06,145,150,8,2.721301236
63,98.62439158,0,0.026044587,0.04262167,0.169747053,0.891482614,0.049299836,0,0.144653063,0,0,0.051759601,Strain Harderned (Hard),-0.00151066,0.032706255,0.000219847,0.016169177,2.315428932,0.023231287,0.253791832,1.247545422,-0.000741216,-2.83510529,0.019032776,0.0089786,12.88874492,0.299833155,3.3754845,26.68143313,0.116554019,0.254716638,-0.003666779,27.06404122,11.09909549,1.252473746,0.154264153,79.89124658,7.282338197,1.47E-06,0.000230278,233.8073952,73.96973918,936.6257769,320.6207507,75.98566086,32.60472161,2.29E-05,1.03E-05,145,160,11,2.698307828
64,98.7338107,0,0.026206892,0.021443618,0.170804636,0.168194435,0.595283561,0,0.242590495,0,0,0.041665667,Strain Harderned (Hard),-0.007835426,0.026800873,-0.005685707,0.014057036,0.928349653,0.024795852,0.193289611,1.247697185,-0.00071945,-3.640934129,0.012807802,0.005387132,12.93698725,0.728929416,3.387925931,27.02940363,0.175925754,0.466515028,-0.007908504,27.22584314,16.80948544,1.251308153,0.116788122,79.83943645,11.41737954,2.46E-06,0.000310398,233.0009344,124.2703205,940.582146,452.9636649,76.46180093,35.7833777,2.30E-05,8.30E-06,140,155,9,2.72550492
65,98.4799752,0,0.052278967,0.064165386,0.170365495,0.559206529,0.272136838,0,0.290360147,0.028394326,0,0.083117117,Strain Harderned (Hard),-0.004631426,0.030154437,-0.001695675,0.016896559,1.376298504,0.024138321,0.262916282,1.247640926,-0.000871852,-3.053839927,0.017086954,0.008111394,12.90821489,0.595275954,3.382478893,26.87742517,0.155308987,0.388222398,-0.006136411,27.16943903,14.22074327,1.251894522,0.134357614,79.85986036,9.291678258,2.93E-06,0.000310035,233.3275231,96.89735517,939.6977176,412.2965327,76.2658628,33.58565765,2.29E-05,9.91E-06,150.5,180,2.05,2.713589528
